tile_id,kind,theta_rad,alpha_rad,v1x,v1y,v2x,v2y,v3x,v3y,v4x,v4y
1,thick,0.0,1.2566370614359172,0.0,0.0,1.0,0.0,1.3090169943749475,0.9510565162951535,0.30901699437494745,0.9510565162951535
2,thick,-1.2566370614359172,1.2566370614359172,1.0,0.0,1.3090169943749475,-0.9510565162951535,2.3090169943749475,-0.9510565162951535,2.0,0.0
3,thin,0.0,0.6283185307179586,1.618033988749895,0.0,2.618033988749895,0.0,3.4270509831248424,0.5877852522924731,2.4270509831248424,0.5877852522924731
4,thin,-0.6283185307179586,0.6283185307179586,2.618033988749895,0.0,3.4270509831248424,-0.5877852522924731,4.427050983124842,-0.5877852522924731,3.618033988749895,0.0
5,thick,0.0,1.2566370614359172,3.520147021340202,0.0,4.520147021340202,0.0,4.82916401571515,0.9510565162951535,3.8291640157151496,0.9510565162951535
6,thick,-1.2566370614359172,1.2566370614359172,4.520147021340202,0.0,4.82916401571515,-0.9510565162951535,5.82916401571515,-0.9510565162951535,5.520147021340202,0.0
7,thin,0.0,0.6283185307179586,5.138181010090097,0.0,6.138181010090097,0.0,6.9471980044650445,0.5877852522924731,5.9471980044650445,0.5877852522924731
8,thin,-0.6283185307179586,0.6283185307179586,6.138181010090097,0.0,6.9471980044650445,-0.5877852522924731,7.9471980044650445,-0.5877852522924731,7.138181010090097,0.0
9,thin,3.141592653589793,0.6283185307179586,0.0,1.1510565162951536,-1.0,1.1510565162951538,-1.8090169943749475,0.5632712640026808,-0.8090169943749476,0.5632712640026806
10,thin,2.5132741228718345,0.6283185307179586,-1.0,1.1510565162951538,-1.8090169943749475,1.7388417685876272,-2.8090169943749475,1.7388417685876274,-2.0,1.151056516295154
11,thick,3.141592653589793,1.2566370614359172,1.902113032590307,1.1510565162951536,0.9021130325903071,1.1510565162951538,0.5930960382153595,0.2000000000000003,1.5930960382153594,0.20000000000000007
12,thick,1.8849555921538759,1.2566370614359172,0.9021130325903071,1.1510565162951538,0.5930960382153597,2.1021130325903075,-0.4069039617846403,2.1021130325903075,-0.09788696740969294,1.151056516295154
13,thin,3.141592653589793,0.6283185307179586,3.520147021340202,1.1510565162951536,2.520147021340202,1.1510565162951538,1.7111300269652547,0.5632712640026808,2.7111300269652547,0.5632712640026806
14,thin,2.5132741228718345,0.6283185307179586,2.520147021340202,1.1510565162951538,1.7111300269652547,1.7388417685876272,0.7111300269652547,1.7388417685876274,1.5201470213402022,1.151056516295154
15,thick,3.141592653589793,1.2566370614359172,5.4222600539305095,1.1510565162951536,4.4222600539305095,1.1510565162951538,4.113243059555562,0.2000000000000003,5.113243059555562,0.20000000000000007
16,thick,1.8849555921538759,1.2566370614359172,4.4222600539305095,1.1510565162951538,4.113243059555562,2.1021130325903075,3.113243059555562,2.1021130325903075,3.4222600539305095,1.151056516295154
17,thick,0.0,1.2566370614359172,0.0,2.302113032590307,1.0,2.302113032590307,1.3090169943749475,3.253169548885461,0.30901699437494745,3.253169548885461
18,thick,-1.2566370614359172,1.2566370614359172,1.0,2.302113032590307,1.3090169943749475,1.3510565162951536,2.3090169943749475,1.3510565162951536,2.0,2.302113032590307
19,thin,0.0,0.6283185307179586,1.618033988749895,2.302113032590307,2.618033988749895,2.302113032590307,3.4270509831248424,2.88989828488278,2.4270509831248424,2.88989828488278
20,thin,-0.6283185307179586,0.6283185307179586,2.618033988749895,2.302113032590307,3.4270509831248424,1.714327780297834,4.427050983124842,1.714327780297834,3.618033988749895,2.302113032590307
21,thick,0.0,1.2566370614359172,3.520147021340202,2.302113032590307,4.520147021340202,2.302113032590307,4.82916401571515,3.253169548885461,3.8291640157151496,3.253169548885461
22,thick,-1.2566370614359172,1.2566370614359172,4.520147021340202,2.302113032590307,4.82916401571515,1.3510565162951536,5.82916401571515,1.3510565162951536,5.520147021340202,2.302113032590307
23,thin,0.0,0.6283185307179586,5.138181010090097,2.302113032590307,6.138181010090097,2.302113032590307,6.9471980044650445,2.88989828488278,5.9471980044650445,2.88989828488278
24,thin,-0.6283185307179586,0.6283185307179586,6.138181010090097,2.302113032590307,6.9471980044650445,1.714327780297834,7.9471980044650445,1.714327780297834,7.138181010090097,2.302113032590307
